x,y,t,yobserved
0.22932478626035058,1.6932752837313405,0.8534557829886136,yes
0.617739939254344,1.4239036356449941,0.2876670760396319,no
0.24567740733997923,1.3812559886487086,0.4939822663907755,yes
0.7130721374966272,1.8165641360001432,0.8124305793256611,yes
0.3754699293834347,0.9125450947071657,0.9866922552025573,yes
0.37564789985511515,0.6098906585353614,0.7504251174142317,yes
0.3049803978687291,0.9905520691758536,0.6143731970106098,yes
0.6773702187684565,0.23640764125025276,0.6324154231003766,no
0.07078143099005318,1.310093885168024,0.910204460236069,yes
0.27845094344852905,1.454963231730349,0.49580539753697256,yes
0.15209844934165517,1.5071600340972415,0.5932872924588799,yes
0.22986284410092306,1.3059174897813572,0.6258345447422367,yes
0.18947964407910534,1.5120042083576164,0.537967582308338,yes
0.4756290304143215,1.681043952235918,0.7368491069149274,yes
0.5439938384671785,1.7506104569104197,0.764309104986168,yes
0.36824919645064114,1.9035556077907296,0.9640656076254968,yes
0.6593568961523428,1.971047872771269,0.5821368914430674,no
0.9991854860045672,1.4119879345994775,0.5570378588190402,no
0.16285738512481962,0.6869049792761467,0.9256702041998276,yes
0.17642034154751707,1.475698744653509,0.8898657900408714,yes
0.1715339776684237,1.3859485094537625,0.8575968422046343,yes
0.28711406297252473,1.799638409393948,0.4001424783761293,yes
0.004603484451501272,0.44751038270368204,0.8467113374928803,yes
0.3656005084314925,1.0871771697509924,0.3348913322120431,no
0.046061048359472334,0.05973389665208473,0.9354378790889228,yes
0.21301017816607948,1.5048759234176767,0.5959815197629101,yes
0.48651478037986196,1.2702909488541567,0.6197334718428842,yes
0.08265981684847468,0.3127022230701307,0.5533771688087671,yes
0.48241023138082273,1.611342134952237,0.6963623758361926,yes
0.4811557317733225,1.892047616566546,0.9973370696229925,yes
0.16855269629236147,0.05339669282995341,0.9971671534459734,yes
0.9070962245507488,1.6241298015029015,0.37585102284492816,no
0.6117315077814444,1.5171313914725275,0.6952217584637108,yes
0.6982112120769962,1.7327265400701704,0.8708479179110521,yes
0.8036633225221967,0.6620456136297934,0.808042473728757,yes
0.8131699035144369,1.7310321367260884,0.5166455614092393,no
0.9944509845436523,0.26549794272329397,0.7513550512833775,no
0.7345756424592018,1.5815664811618164,0.9929956917422028,yes
0.20302099880119973,0.9654451432842898,0.7453189654862664,yes
0.852539089456228,1.9621875187680589,0.42607430375694955,no
0.3122751734137883,1.7711384219020898,0.9173335810358854,yes
0.9327046428321281,1.01107360313311,0.6641247651561702,no
0.47571521690523,1.874338387071514,0.4437128482647505,no
0.6638805507830529,1.3483977192939964,0.22575794430384338,no
0.035404634590291195,1.6931621976507534,0.5437670627096288,yes
0.5851304283192,0.8837451844045006,0.6346496314172108,yes
0.1609224894576491,1.769648675034544,0.8588788443469478,yes
0.024270911509956083,1.4929614807409348,0.6206966649012732,yes
0.005827660226731424,1.6520392648714115,0.35910414727703804,yes
0.7826434773826216,1.5023643387765953,0.8116316778242663,yes
0.6775620741264285,1.2852003917670747,0.8091350183090056,yes
0.0013029866686961045,1.9859761316867082,0.5227878940594167,yes
0.41858230300356525,0.8805281487013975,0.3849313425508963,no
0.24350930631307155,1.6269992294903257,0.7630749638594784,yes
0.688737635342593,1.1152164374496936,0.6887050950613769,no
0.6206588449194466,1.4628066828610253,0.20463740125721336,no
0.46604528982173277,1.6655471087322977,0.6353634166354047,yes
